747,243,81,204
739,240,81,204
732,238,81,204
725,238,81,204
725,238,81,204
720,239,81,204
714,242,81,204
709,244,81,204
704,245,81,204
699,245,81,204
699,245,81,204
696,243,81,204
694,240,81,204
695,237,81,204
697,235,81,204
702,234,81,204
702,234,81,204
706,235,81,204
710,238,81,204
713,239,81,204
719,241,81,204
729,242,81,204
729,242,81,204
802,252,81,204
807,251,81,204
812,254,81,204
815,256,81,204
827,256,81,204
827,256,81,204
830,255,81,204
834,251,81,204
836,246,81,204
837,240,81,204
799,228,81,204
795,230,81,204
791,226,81,204
785,220,81,204
783,221,81,204
782,223,81,204
782,226,81,204
782,226,81,204
771,228,81,204
768,229,81,204
761,228,81,204
756,227,81,204
750,228,81,204
750,228,81,204
746,227,81,204
741,229,81,204
734,233,81,204
729,231,81,204
722,232,81,204
722,232,81,204
716,233,81,204
707,240,81,204
703,240,81,204
698,238,81,204
693,237,81,204
693,237,81,204
696,233,81,204
699,235,81,204
693,236,81,204
695,234,81,204
689,234,81,204
689,234,81,204
683,233,81,204
680,232,81,204
676,235,81,204
674,237,81,204
678,238,81,204
678,238,81,204
747,261,81,204
744,266,81,204
737,269,81,204
736,271,81,204
733,273,81,204
733,273,81,204
729,274,81,204
723,273,81,204
715,271,81,204
707,269,81,204
699,266,81,204
699,266,81,204
661,257,81,204
652,251,81,204
650,245,81,204
647,240,81,204
642,235,81,204
642,235,81,204
640,229,81,204
640,227,81,204
638,226,81,204
634,224,81,204
630,222,81,204
630,222,81,204
626,223,81,204
625,224,81,204
627,224,81,204
629,225,81,204
627,224,81,204
